Roll_no,Hindi,English,Science,Maths,History,Geograpgy,Total,Gender
734,16,37,64,95,24,26,262,Male
735,21,97,67,45,24,11,265,Male
736,16,41,95,43,99,7,301,Male
737,77,60,44,86,47,22,336,Male
738,46,93,58,39,12,61,309,Male
739,5,72,44,85,73,75,354,Male
740,2,20,96,15,39,51,223,Male
741,19,69,31,5,30,75,229,Male
742,23,3,98,4,64,39,231,Male
743,17,64,3,32,83,74,273,Male
744,93,6,11,7,27,79,223,Male
745,62,82,36,20,40,46,286,Male
746,45,60,18,44,53,1,221,Male
747,2,41,3,98,35,57,236,Male
748,0,96,80,74,70,42,362,Male
749,9,11,1,62,20,36,139,Male
750,72,78,62,32,72,53,369,Male
751,20,92,15,82,92,61,362,Male
752,71,31,36,96,55,85,374,Male
753,71,50,70,4,92,10,297,Male
754,51,88,53,10,94,20,316,Male
755,91,78,67,97,99,8,440,Male
756,47,71,5,37,65,40,265,Male
757,87,73,74,84,4,11,333,Male
758,54,30,33,17,1,38,173,Male
759,99,13,76,95,91,73,447,Male
760,44,20,36,33,22,86,241,Male
761,98,51,29,19,60,24,281,Male
762,5,62,5,79,33,16,200,Male
763,64,9,42,44,76,7,242,Male
764,39,18,56,53,29,78,273,Male
765,4,16,92,45,7,71,235,Male
766,23,52,87,94,16,27,299,Male
767,49,99,32,30,57,53,320,Male
768,81,86,45,11,29,13,265,Male
769,97,66,70,83,75,49,440,Male
770,82,64,65,74,96,38,419,Male
771,61,83,54,99,47,72,416,Male
772,6,6,35,48,85,68,248,Male
773,7,23,27,45,50,6,158,Male
774,15,0,93,89,99,42,338,Male
775,88,67,82,68,21,68,394,Male
776,91,88,80,84,19,80,442,Male
777,20,48,2,10,61,41,182,Male
778,55,96,71,72,66,26,386,Male
779,90,35,68,5,76,5,279,Male
780,31,75,43,70,95,23,337,Male
781,47,15,97,90,9,26,284,Male
782,35,32,72,82,99,10,330,Male
783,0,96,98,73,97,91,455,Male
784,83,68,56,11,90,21,329,Male
785,2,8,32,41,92,88,263,Male
786,74,40,41,6,84,60,305,Male
787,93,94,30,97,58,27,399,Male
788,37,71,59,16,36,29,248,Male
789,78,70,56,94,36,72,406,Male
790,57,42,7,44,44,71,265,Male
791,45,55,50,45,34,7,236,Male
792,65,56,83,7,54,22,287,Male
793,47,42,50,18,90,30,277,Male
794,49,80,93,69,79,14,384,Male
795,79,29,21,99,66,81,375,Male
796,2,65,69,4,86,89,315,Male
797,91,96,63,93,92,4,439,Male
798,23,64,89,76,15,98,365,Male
799,30,87,30,56,63,39,305,Male
800,3,39,88,98,76,86,390,Male
801,74,46,46,49,72,27,314,Male
802,3,53,64,64,88,42,314,Male
803,38,15,44,68,47,10,222,Male
804,33,85,59,21,70,21,289,Male
805,60,79,67,1,35,25,267,Male
806,98,18,84,43,1,26,270,Male
807,63,46,94,92,34,1,330,Male
808,13,77,95,61,65,96,407,Male
809,87,53,41,16,23,3,223,Male
810,14,56,92,81,87,97,427,Male
811,77,62,72,6,35,2,254,Male
812,89,9,83,95,57,8,341,Male
813,31,39,64,41,35,9,219,Male
814,24,57,29,51,93,93,347,Male
815,8,3,74,92,35,44,256,Male
816,17,23,21,4,17,45,127,Male
817,46,71,95,56,79,96,443,Male
818,67,76,76,16,58,49,342,Male
819,40,73,26,95,86,75,395,Male
820,89,46,82,96,1,84,398,Male
821,30,17,39,40,11,92,229,Male
822,99,22,82,78,92,17,390,Male
823,79,66,78,79,44,11,357,Male
824,76,67,16,95,62,26,342,Male
825,62,70,59,84,77,36,388,Male
826,76,32,0,94,53,70,325,Male
827,43,67,36,67,40,87,340,Male
828,23,54,58,59,55,72,321,Male
829,87,43,44,56,13,79,322,Male
830,16,76,69,17,15,67,260,Male
831,67,6,20,63,92,6,254,Male
832,30,61,70,46,12,41,260,Male
833,8,57,54,5,81,61,266,Male
834,96,96,82,87,67,53,481,Male
835,24,87,51,0,75,8,245,Male
836,62,12,25,58,82,59,298,Male
837,71,9,38,55,8,91,272,Male
838,92,38,51,94,98,26,399,Male
839,79,62,71,68,84,79,443,Male
840,24,83,85,42,77,80,391,Male
841,5,13,14,38,38,15,123,Male
842,99,53,61,5,10,65,293,Male
843,14,68,80,84,81,20,347,Male
844,16,51,18,69,18,40,212,Male
845,93,30,19,94,17,63,316,Male
846,85,47,73,33,93,27,358,Male
847,39,45,66,93,18,84,345,Male
848,54,61,26,0,43,24,208,Male
849,62,81,43,47,81,75,389,Male
850,63,63,58,63,29,99,375,Male
851,96,76,22,17,20,23,254,Male
852,38,8,77,37,82,70,312,Male
853,50,43,15,16,83,49,256,Male
854,89,5,49,42,35,5,225,Male
855,90,57,33,91,90,14,375,Male
856,73,50,36,76,88,89,412,Male
857,6,94,50,98,82,85,415,Male
858,76,26,9,91,23,14,239,Male
859,2,45,37,32,17,42,175,Male
860,84,36,55,14,22,61,272,Male
861,34,64,45,51,25,54,273,Male
862,77,29,50,33,68,96,353,Male
863,90,91,26,86,55,67,415,Male
864,15,98,19,56,18,71,277,Male
865,88,18,7,39,60,17,229,Male
866,32,8,61,50,53,36,240,Male
867,28,98,83,41,1,94,345,Male
868,48,15,68,35,12,47,225,Male
869,70,42,65,73,43,71,364,Male
870,56,54,34,61,30,19,254,Male
871,34,55,35,69,18,91,302,Male
872,74,28,12,5,19,96,234,Male
873,58,40,55,49,55,0,257,Male
874,59,77,95,14,23,83,351,Male
875,97,63,26,31,93,75,385,Male
876,28,46,70,38,67,89,338,Male
877,91,86,64,32,21,17,311,Male
878,68,73,79,81,78,83,462,Male
879,30,82,86,55,78,18,349,Male
880,29,64,93,40,29,98,353,Male
881,40,35,74,8,35,83,275,Male
882,42,35,95,92,75,77,416,Male
883,65,18,98,90,67,9,347,Male
884,87,37,63,60,19,18,284,Male
885,9,95,24,51,59,68,306,Male
886,48,94,2,28,21,29,222,Male
887,53,0,99,33,41,64,290,Male
888,75,29,15,27,10,16,172,Male
889,58,9,27,3,7,79,183,Male
890,26,91,92,74,9,98,390,Male
891,54,5,40,81,10,13,203,Male
892,97,1,16,83,32,48,277,Male
893,12,25,63,87,3,77,267,Male
894,60,61,30,28,82,77,338,Male
895,87,59,70,56,41,15,328,Male
896,34,22,18,53,52,39,218,Male
897,17,66,12,56,0,53,204,Male
898,87,63,27,44,20,15,256,Male
899,30,38,32,78,29,37,244,Male
900,94,53,21,4,55,54,281,Male
901,53,27,91,9,15,72,267,Male
902,50,81,16,62,8,86,303,Male
903,59,45,87,93,63,24,371,Male
904,27,1,9,57,1,68,163,Male
905,46,53,96,45,60,62,362,Male
906,11,71,69,89,26,70,336,Male
907,42,7,61,64,62,24,260,Male
908,74,89,8,64,66,36,337,Male
909,55,50,28,27,73,25,258,Male
910,62,1,6,71,15,30,185,Male
911,84,82,5,26,21,89,307,Male
912,25,44,57,69,0,38,233,Male
913,4,12,86,20,98,89,309,Male
914,53,80,41,25,49,78,326,Male
915,60,31,79,70,82,80,402,Male
916,23,42,54,38,84,6,247,Male
917,35,89,91,21,1,3,240,Male
918,34,77,8,82,58,67,326,Male
919,43,67,61,9,42,73,295,Male
920,29,15,16,33,33,90,216,Male
921,15,54,3,52,7,18,149,Male
922,92,76,30,18,10,38,264,Male
923,95,9,86,86,8,13,297,Male
924,36,99,67,63,91,16,372,Male
925,66,54,88,66,88,26,388,Male
926,17,90,66,80,6,78,337,Male
927,65,9,81,66,51,35,307,Male
928,9,1,2,64,14,59,149,Male
929,20,32,95,10,44,18,219,Male
930,20,34,46,71,57,28,256,Male
931,54,81,67,27,38,84,351,Male
932,69,73,84,0,56,2,284,Male
933,43,39,89,66,98,85,420,Male
934,14,91,6,38,17,58,224,Male
935,95,49,27,79,75,49,374,Male
936,72,44,0,88,69,72,345,Male
937,83,8,0,33,74,41,239,Male
938,60,73,94,80,15,78,400,Male
939,92,50,61,68,23,50,344,Male
940,51,62,85,83,59,52,392,Male
941,83,80,70,98,16,44,391,Male
942,81,91,54,22,39,1,288,Male
943,85,20,67,26,4,74,276,Male
944,67,73,17,91,21,91,360,Male
945,23,9,19,43,57,81,232,Male
946,95,85,68,53,25,95,421,Male
947,55,89,54,36,67,41,342,Male
948,20,72,36,41,89,64,322,Male
949,74,50,93,92,69,16,394,Male
950,44,20,76,86,91,2,319,Male
951,89,92,97,55,26,93,452,Male
952,58,2,61,39,31,41,232,Male
953,4,6,97,67,92,57,323,Male
954,15,47,87,5,89,91,334,Male
955,22,73,85,10,39,8,237,Male
956,25,37,70,81,1,72,286,Male
957,29,78,63,93,71,77,411,Male
958,80,72,69,78,48,8,355,Male
959,84,10,96,37,7,38,272,Male
960,87,20,96,81,73,41,398,Male
961,40,19,71,17,35,24,206,Male
962,55,65,67,16,63,42,308,Male
963,77,20,33,78,66,5,279,Male
964,98,15,38,69,49,8,277,Male
965,37,53,23,14,40,42,209,Male
966,4,52,43,17,58,96,270,Male
967,72,35,4,46,39,12,208,Male
968,26,31,75,58,56,99,345,Male
969,53,93,13,12,28,94,293,Male
970,89,66,29,73,10,36,303,Male
971,73,56,52,51,15,78,325,Male
972,18,14,26,96,54,36,244,Male
973,37,47,5,95,60,24,268,Male
974,5,94,79,23,36,37,274,Male
975,69,24,83,10,3,82,271,Male
976,86,16,88,31,48,81,350,Male
977,15,93,80,97,73,8,366,Male
978,98,90,12,12,70,84,366,Male
979,12,79,13,28,1,4,137,Male
980,45,64,27,64,69,75,344,Male
981,28,87,54,63,69,96,397,Male
982,76,49,53,93,93,44,408,Male
983,95,65,89,39,56,73,417,Male
984,84,82,46,74,54,46,386,Male
985,12,94,50,84,87,16,343,Male
986,94,61,61,91,65,59,431,Male
987,76,36,53,60,32,27,284,Male
988,96,46,66,87,65,23,383,Male
989,10,4,65,3,46,26,154,Male
990,30,68,30,14,16,6,164,Male
991,98,53,29,61,40,11,292,Male
992,55,94,59,68,82,89,447,Male
993,72,30,34,90,71,36,333,Male
994,94,62,68,84,13,35,356,Male
995,55,89,68,58,13,13,296,Male
996,42,62,25,87,51,68,335,Male
997,9,83,70,14,11,78,265,Male
998,23,82,31,42,84,52,314,Male
999,75,78,68,33,79,91,424,Male
1000,72,25,74,89,91,27,378,Male
